"PHRJN3FM,""journalArticle"",""2024"",""Pan, Zhilei"; Li, Shouwei; Li, Jingwei;" Gong, Chen"",""Air pollution and bank risk taking: Evidence from China"",""Finance Research Letters"","""","""",""10.1016/j.frl.2024.105594"","""",""NA"",""2024"",""2026-08-25 13:58:27"",""2026-08-25 13:58:27"","""",""105594-105594"","""",""NA"",""65"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"FA4HK847,""journalArticle"",""2018"",""Wu, Qinqin"; Hao, Ying;" Lu, Jing"",""Air pollution, stock returns, and trading activities in China"",""Pacific-Basin Finance Journal"","""","""",""10.1016/j.pacfin.2018.08.018"","""",""Abstract The relationship between air pollution and stock pricing of locally headquartered firms is explored using firm-level data in China. Severe air pollution results in low returns, turnover, volatility, and high illiquidity, mainly through a home bias. The results remain robust after a series of checks. The relation between air pollution and local firm performance is insignificant, implying that the air pollution effects can be attributed to investor mood bias rather than to economic effects. The sensitivity of stock returns to air pollution is significantly large for high-growth stocks, distressed stocks, and stocks with high volatility."",""2018"",""2026-08-25 13:58:27"",""2026-08-25 13:58:27"","""",""342-365"","""",""NA"",""51"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"VMY2K76X,""journalArticle"",""2021"",""Li, Qiang"; Cui, Ruomeng; Li, Meng;" Xu, Huan"",""Environmental Responsibility: Impact of Waste-Sorting Regulation on Secondary Markets"",""SSRN Electronic Journal"","""","""",""10.2139/ssrn.3871446"","""",""NA"",""2021"",""2026-08-25 13:58:27"",""2026-08-25 13:58:27"","""",""NA-NA"","""",""NA"",""NA"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"QAK67P42,""journalArticle"",""2021"",""Giaccherini, Matilde"; Kopinska, Joanna;" Palma, Alessandro"",""When particulate matter strikes cities: Social disparities and health costs of air pollution."",""Journal of health economics"","""","""",""10.1016/j.jhealeco.2021.102478"","""",""NA"",""2021"",""2026-08-25 13:58:27"",""2026-08-25 13:58:27"","""",""102478-102478"","""",""NA"",""78"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"35KWACYZ,""journalArticle"",""2020"",""Akey, Pat";" Appel, Ian"",""The Limits of Limited Liability: Evidence from Industrial Pollution"",""The Journal of Finance"","""","""",""10.1111/jofi.12978"","""",""We study how parent liability for subsidiaries' environmental cleanup costs affects industrial pollution and production. Our empirical setting exploits a Supreme Court decision that strengthened parent limited liability protection for some subsidiaries. Using a difference‐in‐differences framework, we find that stronger liability protection for parents leads to a 5% to 9% increase in toxic emissions by subsidiaries. Evidence suggests the increase in pollution is driven by lower investment in abatement technologies rather than increased production. Cross‐sectional tests suggest convexities associated with insolvency and executive compensation drive heterogeneous effects. Overall, our findings highlight the moral hazard problem associated with limited liability."",""2020"",""2026-08-25 13:58:27"",""2026-08-25 13:58:27"","""",""5-55"","""",""1"",""76"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ZDWWFWSX,""journalArticle"",""2017"",""Qin, Yu";" Zhu, Hongjia"",""Run away? Air pollution and emigration interests in China"",""Journal of Population Economics"","""","""",""10.1007/s00148-017-0653-0"","""",""This paper investigates the impact of air pollution on people’s interest in emigration. Using an online search index on “emigration” which is positively correlated with its search volume, we develop a city-by-day measurement of people’s emigration sentiment. We find that searches on “emigration” will grow by approximately 2.3–4.8% the next day if today’s air quality index (AQI) is increased by 100 points. In addition, such an effect is more pronounced when the AQI level is above 200, a sign of “heavily polluted” and “severely polluted” days. We also find that such effect differs by destination countries and by metropolitan areas."",""2017"",""2026-08-25 13:58:27"",""2026-08-25 13:58:27"","""",""235-266"","""",""1"",""31"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"UBEWXKWH,""journalArticle"",""2025"",""Xu, Weiqi"; Wei, Binhui; Ma, Ruili;" Luo, Mingzhong"",""Incentive-based environmental regulations and rural migrant workers' settlement intention: Insights from China's green fiscal policy."",""Journal of environmental management"","""","""",""10.1016/j.jenvman.2025.125623"","""",""NA"",""2025"",""2026-08-25 13:58:27"",""2026-08-25 13:58:27"","""",""125623-125623"","""",""NA"",""385"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"LZJQ8SY2,""bookSection"",""2025"",""Sharifi, Ayyoob"",""Sustainability and Resilience Co-benefits and Trade-Offs of Urban Climate Change Adaptation and Mitigation Measures"",""Handbook of Climate Change Mitigation and Adaptation"","""","""",""10.1007/978-3-031-84483-6_118"","""",""NA"",""2025"",""2026-08-25 13:58:27"",""2026-08-25 13:58:27"","""",""1751-1785"","""","""",""NA"",""NA"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"9G5MCMD8,""journalArticle"",""2018"",""Shi, Qingling";" Guo, Feng"",""Do people have a negative impression of government on polluted days? Evidence from Chinese Cities"",""Journal of Environmental Planning and Management"","""","""",""10.1080/09640568.2018.1443801"","""",""Chinese governments play a key role in providing environmental public goods. Urban air quality is a significant indicator with which people evaluate the effects of governments’ environmental regula..."",""2018"",""2026-08-25 13:58:27"",""2026-08-25 13:58:27"","""",""797-817"","""",""5"",""62"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"3LQEZXN4,""journalArticle"",""2017"",""Bharadwaj, Prashant"; Gibson, Matthew; Zivin, Joshua Graff;" Neilson, Christopher"",""Gray Matters: Fetal Pollution Exposure and Human Capital Formation"",""Journal of the Association of Environmental and Resource Economists"","""","""",""10.1086/691591"","""",""This paper examines the impact of fetal exposure to air pollution on 4th grade test scores in Santiago, Chile. We rely on comparisons across siblings which address concerns about locational sorting and all other time-invariant family characteristics that can lead to endogenous exposure to poor environmental quality. We also exploit data on air quality alerts to help address concerns related to short-run time-varying avoidance behavior, which has been shown to be important in a number of other contexts. We find a strong negative effect from fetal exposure to carbon monoxide (CO) on math and language skills measured in 4th grade. These effects are economically significant and our back of the envelope calculations suggest that the 50% reduction in CO in Santiago between 1990 and 2005 increased lifetime earnings by approximately 100 million USD per birth cohort."",""2017"",""2026-08-25 13:58:27"",""2026-08-25 13:58:27"","""",""505-542"","""",""2"",""4"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"PKMKGEM3,""journalArticle"",""2023"",""Li, Wenbo"",""The effect of China's driving restrictions on air pollution: The role of a policy announcement without a stated expiration"",""Resource and Energy Economics"","""","""",""10.1016/j.reseneeco.2023.101360"","""",""NA"",""2023"",""2026-08-25 13:58:27"",""2026-08-25 13:58:27"","""",""101360-101360"","""",""NA"",""72"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"SDSBY4ZY,""journalArticle"",""2020"",""Gan, Ting"; Yang, Huachao; Liang, Wei;" Liao, Xianchun"",""Do economic development and population agglomeration inevitably aggravate haze pollution in China? New evidence from spatial econometric analysis"",""Environmental science and pollution research international"","""","""",""10.1007/s11356-020-10847-4"","""",""With sustained economic development, China's ecological environment is becoming increasingly fragile and the problem of haze pollution is becoming increasingly prominent, which has affected the normal life of human beings and the stable development of society. In this paper, 287 cities' panel data from 1998 to 2016 are used, PM2.5 is used to represent haze pollution, and the spatial Durbin model is used to explore the role of the economy and population agglomeration on smog pollution. The empirical results show that (1) haze pollution has obvious spatial spillover. From the perspective of China as a whole, the relationship between the economy and smog pollution is an inverted U shape. (2) China is divided into three economic regions, i.e., the east, the middle, and the west. In the east and middle regions, it is found that economic development also shows an inverted U-shaped relationship with haze pollution. (3) Regardless of the country or the three major economic regions, population agglomeration is the primary factor that aggravates haze pollution";" the progress of technology and the optimization of the industrial structure can improve haze pollution. (4) Through further analysis of the indirect effects of haze in China, it is found that there is a significant spatial spillover effect. According to the results of this research, policy suggestions are put forward."",""2020"",""2026-08-25 13:58:27"",""2026-08-25 13:58:27"","""",""5063-5079"","""",""5"",""28"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
